identifiant;nom_etablissement;numero_siret;adresse;code_postal;commune;departement;region;coordonnees_x;coordonnees_y;code_epsg;code_ape;libelle_ape;code_eprtr;libelle_eprtr
0010001408;TRISALID;85250529600016;651 rue de la Motte Pétrée;45770;SARAN;LOIRET;CENTRE;615126.000000;6762223.000000;2154;3821Z;Traitement et élimination des déchets non dangereux;5.(b);Installations destinées à l'incinération des déchets non dangereux dans le cadre de la directive 2000/76/CE du Parlement européen et du Conseil du 4 décembre 2000 sur l'incinération des déchets d'une capacité de 3 tonnes par heure
0006700585;PLASTIC OMNIUM AUTO INERGY FRANCE;51951245300076;2 rue des Imprimés;68120;PFASTATT;HAUT-RHIN;GRAND-EST;1021797.000000;6748466.000000;2154;2229A;Fabrication de pièces techniques à base de matières plastiques;;
0024900041;KNAUF ISBA;34154500200014;Route de lyon;89015;AUXERRE;YONNE;BOURGOGNE-FRANCHE-COMTE;745058.000000;6743107.000000;2154;2223Z;Fabrication d'éléments en matières plastiques pour la construction;;
0006000283;DELVERT;67672014700013;ZI Tour de Loyre BP 106;19360;MALEMORT-SUR-CORREZE;CORREZE;NOUVELLE-AQUITAINE;587880.000000;6452708.000000;2154;1039B;Transformation et conservation de fruits;8.(b).(ii);matières premières végétales d'une capacité de production de produits finis de 300 tonnes par jour (valeur moyenne sur une base trimestrielle)
0006000356;MICHAEL GRELLETY;31053045600014;54 rue Leonard Samie, Z.I. ROMANET;87000;LIMOGES;HAUTE-VIENNE;NOUVELLE-AQUITAINE;565899.000000;6524031.000000;2154;2561Z;Traitement et revêtement des métaux;2.(f);Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
0006700795;SITEK INSULATION S.A.S.;88585024800091;ROUTE DE LAUTERBOURG, CS 90148;67160;WISSEMBOURG;BAS-RHIN;GRAND-EST;1063795.000000;6891999.000000;2154;2399Z;Fabrication d'autres produits minéraux non métalliques n.c.a.;;
0007002401;COVALYS ex-VALNOR (CVE ANTARES);82753838000029;Rocade de la Vallée de la Lys, RD 191;59250;HALLUIN;NORD;HAUTS-DE-FRANCE;709155.000000;7074349.000000;2154;3821Z;Traitement et élimination des déchets non dangereux;5.(b);Installations destinées à l'incinération des déchets non dangereux dans le cadre de la directive 2000/76/CE du Parlement européen et du Conseil du 4 décembre 2000 sur l'incinération des déchets d'une capacité de 3 tonnes par heure
0007002577;EARTHMINDED France;30853135900039;ZI ARTOIS FLANDRES, 270 Avenue de Berlin - BP 50526;62138;BILLY-BERCLAU;PAS-DE-CALAIS;HAUTS-DE-FRANCE;689665.000000;7047746.000000;2154;3832Z;Récupération de déchets triés;;
0005500111;ARMORICAINE INDUSTRIE SAS;80338472600029;ZA DU MILHARTZ;22800;LANFAINS;COTES-D'ARMOR;BRETAGNE;263029.000000;6825825.000000;2154;1051A;Fabrication de lait liquide et de produits frais;8.(c);Traitement et transformation du lait d'une capacité de traitement de 200 tonnes de lait par jour (valeur moyenne sur une base annuelle)
0005501236;BONDUELLE TRAITEUR (Saladerie);57715078200024;67 route de Concarneau;29140;ROSPORDEN;FINISTERE;BRETAGNE;190129.000000;6783426.000000;2154;1039A;Autre transformation et conservation de légumes;;
0006301998;MECACHROME;79336912500018;ZI et ZA des Vignes, Avenue Jean Monnet;72300;SOLESMES;SARTHE;PAYS-DE-LA-LOIRE;-0.298056;47.832177;4326;2562B;Mécanique industrielle;;
0006701421;LEDVANCE SASU (ex-OSRAM);67578016700010;ZI 5, RUE D'ALTORF, CS 49105;67120;MOLSHEIM;BAS-RHIN;GRAND-EST;1032252.000000;6835771.000000;2154;2740Z;Fabrication d'appareils d'éclairage électrique;;
0005101934;PLASTIC OMNIUM AUTO EXTERIEUR;45139972900032;Rue de la Croix de Pierre - ZI Nord, KS n° 117 et 141;80000;AMIENS;SOMME;HAUTS-DE-FRANCE;647725.000000;6982803.000000;2154;2932Z;Fabrication d'autres équipements automobiles;1.(e);Broyeurs à charbon d'une capacité d'une tonne heure
0006300987;FMGC;86680121000026;ZI de Soudan, Hochepie;44110;SOUDAN;LOIRE-ATLANTIQUE;PAYS-DE-LA-LOIRE;375981.000000;6742846.000000;2154;2451Z;Fonderie de fonte;2.(b);Installations pour la production de fonte ou d'acier (de première ou de seconde fusion), notamment en coulée continue d'une capacité de 2,5 tonnes par heure
0006103843;VENISSIEUX ENERGIES;51883185400022;16 avenue ALBERT EINSTEIN;69200;VENISSIEUX;RHONE;AUVERGNE-RHONE-ALPES;846041.000000;6512693.000000;2154;3530Z;Production et distribution de vapeur et d'air conditionné;1.(c);Centrales thermiques et autres installations de combustion avec un apport thermiques de 50 MW
0006301722;VALEO THERMIQUE HABITACLE;33131210800136;Usine de Pré Sec;72210;LA SUZE-SUR-SARTHE;SARTHE;PAYS-DE-LA-LOIRE;477954.000000;6759512.000000;2154;2811Z;Fabrication de moteurs et turbines, à l'exception des moteurs d'avions et de véhicules;;
0007000818;RECYLEX SA;54209770400127;20, rue des Près;59161;ESCAUDOEUVRES;NORD;HAUTS-DE-FRANCE;719012.000000;7011072.000000;2154;3832Z;Récupération de déchets triés;5.(a);Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
0007002622;VALENPLAST;41381514300024;;59111;LIEU-SAINT-AMAND;NORD;HAUTS-DE-FRANCE;672000;2587000;27572;252H ;Fabrication de pièces techniques en matières plastiques;;
0005701721;SUN DESHY;32973714200029;Route de Contault;51330;NOIRLIEU;MARNE;GRAND-EST;832525.000000;6871988.000000;2154;1091Z;Fabrication d'aliments pour animaux de ferme;8.(b).(ii);matières premières végétales d'une capacité de production de produits finis de 300 tonnes par jour (valeur moyenne sur une base trimestrielle)
0005200118;INTERSPRAY S.A.S;40949168500015;Théorat, Rue de la Robertie;24190;NEUVIC;DORDOGNE;NOUVELLE-AQUITAINE;452900;2012800;27572;2042Z;Fabrication de parfums et de produits pour la toilette;;
0006400337;KERRY FLAVOURS FRANCE SAS;43391958600027;QUARTIER SAINTE MARGUERITE - BP 82067, Usine du Plan de Grasse CD304;06130;GRASSE;ALPES-MARITIMES;PROVENCE-ALPES-COTE-D'AZUR;1018769.000000;6291417.000000;2154;1089Z;Fabrication d'autres produits alimentaires n.c.a.;4.(a).(ii);hydrocarbures oxygénés, notamment les alcools, aldéhydes, cétones, acides carboxyliques, esters, acétates, éthers, peroxydes, résines époxydes
