identifiant;nom_etablissement;dechet;annee;code_operation_eliminatio_valorisation;libelle_operation_eliminatio_valorisation;code_departement;pays;code_dechet;libelle_dechet;quantite_admise;quantite_traitee;unite
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2007;R2 ;R2 Récupération ou régénération des solvants;;;07 01 01*;Eaux de lavage et liqueurs mères aqueuses;568.240;568.200;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2007;R2 ;R2 Récupération ou régénération des solvants;;;07 01 03*;Solvants, liquides de lavage et liqueurs mères organiques halogénés;326.200;326.440;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2007;R2 ;R2 Récupération ou régénération des solvants;;;07 01 04*;Autres solvants, liquides de lavage et liqueurs mères organiques;7885.460;7889.400;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2007;R2 ;R2 Récupération ou régénération des solvants;;;07 01 08*;Autres résidus de réaction et résidus de distillation;25.160;25.200;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2007;R2 ;R2 Récupération ou régénération des solvants;;;07 02 04*;Autres solvants, liquides de lavage et liqueurs mères organiques;790.960;791.000;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2007;R2 ;R2 Récupération ou régénération des solvants;;;07 02 08*;Autres résidus de réaction et résidus de distillation;80.400;80.400;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2007;R2 ;R2 Récupération ou régénération des solvants;;;07 03 04*;Autres solvants, liquides de lavage et liqueurs mères organiques;32.160;32.200;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2007;R2 ;R2 Récupération ou régénération des solvants;;;07 04 03*;Solvants, liquides de lavage et liqueurs mères organiques halogénés;92.080;92.000;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2007;R2 ;R2 Récupération ou régénération des solvants;;;07 04 04*;Autres solvants, liquides de lavage et liqueurs mères organiques;205.680;205.600;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2007;R2 ;R2 Récupération ou régénération des solvants;;;07 05 04*;Autres solvants, liquides de lavage et liqueurs mères organiques;2985.120;2985.600;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2007;R2 ;R2 Récupération ou régénération des solvants;;;07 07 01*;Eaux de lavage et liqueurs mères aqueuses;162.420;162.400;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2007;R2 ;R2 Récupération ou régénération des solvants;;;07 07 03*;Solvants, liquides de lavage et liqueurs mères organiques halogénés;72.600;72.600;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2007;R2 ;R2 Récupération ou régénération des solvants;;;07 07 04*;Autres solvants, liquides de lavage et liqueurs mères organiques;2190.040;2188.600;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2007;R2 ;R2 Récupération ou régénération des solvants;;;07 07 08*;Autres résidus de réaction et résidus de distillation;245.280;245.400;t/an
