identifiant;nom_etablissement;dechet;annee;code_operation_eliminatio_valorisation;libelle_operation_eliminatio_valorisation;code_departement;pays;code_dechet;libelle_dechet;quantite;unite
00       87187001;ABATTOIR MUNICIPAL DE SAINT-YRIEIX;Production de déchets non dangereux;2010;D10;D10 Incinération à terre;79;"";6;Déchets animaux de la préparation des aliments et produits alimentaires;1632.8;t/an
00       87187001;ABATTOIR MUNICIPAL DE SAINT-YRIEIX;Production de déchets non dangereux;2010;R3 ;R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques);24;"";6;Déchets animaux de la préparation des aliments et produits alimentaires;2221.6;t/an
00       87187001;ABATTOIR MUNICIPAL DE SAINT-YRIEIX;Production de déchets non dangereux;2010;R3 ;R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques);79;"";6;Déchets animaux de la préparation des aliments et produits alimentaires;3690.4;t/an
00       76278001;ALLIANCE ELABORES;Production de déchets non dangereux;2010;R10;R10 Epandage sur le sol au profit de l'agriculture ou de l'écologie;76;"";02 02 04;Boues provenant du traitement in situ des effluents;5292;t/an
00       49003604;CHARAL;Production de déchets non dangereux;2010;D10;D10 Incinération à terre;79;"";02 02 03;Matières impropres à la consommation ou à la transformation;29200;t/an
00       49003604;CHARAL;Production de déchets non dangereux;2010;D10;D10 Incinération à terre;44;"";18 01 02;Déchets anatomiques et organes, y compris sacs de sang et réserves de sang (sauf rubrique 18 01 03);1.34;t/an
00       49003604;CHARAL;Production de déchets non dangereux;2010;R1 ;R1 Utilisation principale comme combustible ou autre moyen de produire de l'énergie;44;"";15 01 02;Emballages en matières plastiques;1108;t/an
00       49003604;CHARAL;Production de déchets non dangereux;2010;R10;R10 Epandage sur le sol au profit de l'agriculture ou de l'écologie;49;"";02 02 04;Boues provenant du traitement in situ des effluents;20200;t/an
00       75624001;CONSERVERIE DE BERGERAC;Production de déchets non dangereux;2010;D5 ;D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.);24;"";9;Déchets banals des entreprises;1396;t/an
00       75624001;CONSERVERIE DE BERGERAC;Production de déchets non dangereux;2010;D8 ;D8 Traitement biologique non spécifié ailleurs dans la présente annexe, aboutissant à des composés ou à des mélanges qui sont éliminés selon l'un des procédés numérotés D 1 à D 12;24;"";5;Déchets animaux et végétaux (à l'exclusion des déchets animaux de la préparation des aliments et produits alimentaires ainsi que des fèces, urines et fumier animaux);12848;t/an
00       75624001;CONSERVERIE DE BERGERAC;Production de déchets non dangereux;2010;R5 ;R5 Recyclage ou récupération d'autres matières inorganiques;24;"";4;Déchets de bois;64;t/an
00       25041001;Coopérative des MONTS DE JOUX;Production de déchets non dangereux;2010;R10;R10 Epandage sur le sol au profit de l'agriculture ou de l'écologie;25;"";2;Boues d'effluents industriels;17840;t/an
00       59178001;DOUAISIENNE D'ABATTAGE;Production de déchets non dangereux;2010;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);59;"";02 02 04;Boues provenant du traitement in situ des effluents;33.4;t/an
00       59178001;DOUAISIENNE D'ABATTAGE;Production de déchets non dangereux;2010;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);59;"";20 01 01;Papier et carton;0.52;t/an
00       59178001;DOUAISIENNE D'ABATTAGE;Production de déchets non dangereux;2010;D10;D10 Incinération à terre;02;"";02 02 99;Déchets non spécifiés ailleurs.;3300;t/an
00       59178001;DOUAISIENNE D'ABATTAGE;Production de déchets non dangereux;2010;D8 ;D8 Traitement biologique non spécifié ailleurs dans la présente annexe, aboutissant à des composés ou à des mélanges qui sont éliminés selon l'un des procédés numérotés D 1 à D 12;59;"";02 02 04;Boues provenant du traitement in situ des effluents;206;t/an
00       59178001;DOUAISIENNE D'ABATTAGE;Production de déchets non dangereux;2010;R10;R10 Epandage sur le sol au profit de l'agriculture ou de l'écologie;59;"";02 02 03;Matières impropres à la consommation ou à la transformation;564;t/an
00       59178001;DOUAISIENNE D'ABATTAGE;Production de déchets non dangereux;2010;R3 ;R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques);55;"";02 02 99;Déchets non spécifiés ailleurs.;224;t/an
00       59178001;DOUAISIENNE D'ABATTAGE;Production de déchets non dangereux;2010;R3 ;R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques);;BELGIQUE;02 02 99;Déchets non spécifiés ailleurs.;1988;t/an
00       64208005;EARL CASSOU-LAHORE;Production de déchets non dangereux;2010;R10;R10 Epandage sur le sol au profit de l'agriculture ou de l'écologie;;"";02 01 06;Fèces, urine et fumier (y compris paille souillée), effluents, collectés séparément et traités hors site;6800;t/an
00       35004002;ETS BRIENT;Production de déchets non dangereux;2010;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);35;"";15 01 02;Emballages en matières plastiques;232;t/an
00       35004002;ETS BRIENT;Production de déchets non dangereux;2010;D10;D10 Incinération à terre;35;"";15 01 01;Emballages en papier/carton;74;t/an
00       35004002;ETS BRIENT;Production de déchets non dangereux;2010;D10;D10 Incinération à terre;35;"";16 03 06;Déchets d'origine organique autres que ceux visés à la rubrique 16 03 05.;5800;t/an
00       35004002;ETS BRIENT;Production de déchets non dangereux;2010;R1 ;R1 Utilisation principale comme combustible ou autre moyen de produire de l'énergie;22;"";19 08 09;Mélanges de graisse et d'huile provenant de la séparation huile/eaux usées ne contenant que des huiles et graisses alimentaires;442;t/an
00       35004002;ETS BRIENT;Production de déchets non dangereux;2010;R10;R10 Epandage sur le sol au profit de l'agriculture ou de l'écologie;35;"";02 02 04;Boues provenant du traitement in situ des effluents;348;t/an
00       40282001;FERMIERS LANDAIS SAS;Production de déchets non dangereux;2010;D2 ;D2 Traitement en milieu terrestre (par exemple, biodégradation de déchets liquides ou de boues dans les sols, etc.);40;"";2;Boues d'effluents industriels;143.2;t/an
00       40282001;FERMIERS LANDAIS SAS;Production de déchets non dangereux;2010;R3 ;R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques);40;"";5;Déchets animaux et végétaux (à l'exclusion des déchets animaux de la préparation des aliments et produits alimentaires ainsi que des fèces, urines et fumier animaux);39520;t/an
00       40282001;FERMIERS LANDAIS SAS;Production de déchets non dangereux;2010;R5 ;R5 Recyclage ou récupération d'autres matières inorganiques;64;"";4;Déchets de bois;37.84;t/an
00       40282001;FERMIERS LANDAIS SAS;Production de déchets non dangereux;2010;R5 ;R5 Recyclage ou récupération d'autres matières inorganiques;64;"";9;Déchets banals des entreprises;584;t/an
00       75664052;FIPSO Aquitaine;Production de déchets non dangereux;2010;R10;R10 Epandage sur le sol au profit de l'agriculture ou de l'écologie;;"";2;Boues d'effluents industriels;12000;t/an
00       25531010;FROMAGERIE DE CLERVAL;Production de déchets non dangereux;2010;R10;R10 Epandage sur le sol au profit de l'agriculture ou de l'écologie;25;"";2;Boues d'effluents industriels;18840;t/an
00       08158001;GAEC DU CHATEAU D'ETREPIGNY;Production de déchets non dangereux;2010;R10;R10 Epandage sur le sol au profit de l'agriculture ou de l'écologie;;"";19 06 06;Digestats provenant du traitement anaérobie des déchets animaux et végétaux;4714;t/an
00       08488003;GAEC FORGET;Production de déchets non dangereux;2010;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);;"";19 06 06;Digestats provenant du traitement anaérobie des déchets animaux et végétaux;7400;t/an
00       75664050;LABEYRIE;Production de déchets non dangereux;2010;R3 ;R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques);47;"";02 02 02;Déchets de tissus animaux;15506;t/an
00       75664050;LABEYRIE;Production de déchets non dangereux;2010;R3 ;R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques);64;"";02 02 04;Boues provenant du traitement in situ des effluents;220;t/an
00       75664050;LABEYRIE;Production de déchets non dangereux;2010;R3 ;R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques);64;"";02 02 99;Déchets non spécifiés ailleurs.;4452;t/an
00       51101001;Les ELEVEURS de la CHAMPAGNE;Production de déchets non dangereux;2010;D10;D10 Incinération à terre;55;"";02 02 03;Matières impropres à la consommation ou à la transformation;125.6;t/an
00       51101001;Les ELEVEURS de la CHAMPAGNE;Production de déchets non dangereux;2010;D5 ;D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.);51;"";15 01 02;Emballages en matières plastiques;126.2;t/an
00       51101001;Les ELEVEURS de la CHAMPAGNE;Production de déchets non dangereux;2010;R10;R10 Epandage sur le sol au profit de l'agriculture ou de l'écologie;51;"";19 08 12;Boues provenant du traitement biologique des eaux usées industrielles autres que celles visées à la rubrique 19 08 11;220.10;t/an
00       51101001;Les ELEVEURS de la CHAMPAGNE;Production de déchets non dangereux;2010;R3 ;R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques);45;"";02 02 02;Déchets de tissus animaux;451.6;t/an
00       51101001;Les ELEVEURS de la CHAMPAGNE;Production de déchets non dangereux;2010;R3 ;R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques);;BELGIQUE;02 02 02;Déchets de tissus animaux;12591.4;t/an
00       51101001;Les ELEVEURS de la CHAMPAGNE;Production de déchets non dangereux;2010;R5 ;R5 Recyclage ou récupération d'autres matières inorganiques;51;"";15 01 01;Emballages en papier/carton;147.4;t/an
00       25578200;Les éleveurs de la Chevillotte;Production de déchets non dangereux;2010;D10;D10 Incinération à terre;03;"";02 02 02;Déchets de tissus animaux;17.8;t/an
00       25578200;Les éleveurs de la Chevillotte;Production de déchets non dangereux;2010;D13;D13 Regroupement préalablement à l'une des opérations numérotées D 1 à D 12;25;"";20 01 01;Papier et carton;320;t/an
00       25578200;Les éleveurs de la Chevillotte;Production de déchets non dangereux;2010;R12;R12 Echange de déchets en vue de les soumettre à l'une des opérations numérotées R 1 à R 11;39;"";02 02 02;Déchets de tissus animaux;7000;t/an
00       25578200;Les éleveurs de la Chevillotte;Production de déchets non dangereux;2010;R12;R12 Echange de déchets en vue de les soumettre à l'une des opérations numérotées R 1 à R 11;39;"";02 02 04;Boues provenant du traitement in situ des effluents;680;t/an
00       75664053;LINDT ET SPRUNGLI;Production de déchets non dangereux;2010;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);64;"";02 03 05;Boues provenant du traitement in situ des effluents;622;t/an
00       75664053;LINDT ET SPRUNGLI;Production de déchets non dangereux;2010;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);64;"";02 06 01;Matières impropres à la consommation ou à la transformation;2754;t/an
00       75664053;LINDT ET SPRUNGLI;Production de déchets non dangereux;2010;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);64;"";02 06 99;Déchets non spécifiés ailleurs.;818;t/an
00       75664053;LINDT ET SPRUNGLI;Production de déchets non dangereux;2010;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);;ESPAGNE;02 06 99;Déchets non spécifiés ailleurs.;1346;t/an
00       75664053;LINDT ET SPRUNGLI;Production de déchets non dangereux;2010;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);65;"";07 02 13;Déchets plastiques;202;t/an
00       75664053;LINDT ET SPRUNGLI;Production de déchets non dangereux;2010;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);65;"";15 01 01;Emballages en papier/carton;1202;t/an
00       75664053;LINDT ET SPRUNGLI;Production de déchets non dangereux;2010;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);64;"";17 02 01;Bois;568;t/an
00       75664053;LINDT ET SPRUNGLI;Production de déchets non dangereux;2010;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);64;"";17 04 02;Aluminium;5.2;t/an
00       75664053;LINDT ET SPRUNGLI;Production de déchets non dangereux;2010;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);64;"";19 10 01;Déchets de fer ou d'acier;146;t/an
00       24129001;Mademoiselle Desserts Valade;Production de déchets non dangereux;2010;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);24;"";02 06 01;Matières impropres à la consommation ou à la transformation;711.8;t/an
00       24129001;Mademoiselle Desserts Valade;Production de déchets non dangereux;2010;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);24;"";02 06 03;Boues provenant du traitement in situ des effluents;958;t/an
