identifiant;nom_etablissement;dechet;annee;code_operation_eliminatio_valorisation;libelle_operation_eliminatio_valorisation;code_departement;pays;code_dechet;libelle_dechet;quantite_admise;quantite_traitee;unite
0002508495;SARL PHENIX RECYCLAGE;Traitement de déchets dangereux;2009;R13;R13 Stockage de déchets préalablement à l'une des opérations numérotées R 1 à R 12 (à l'exclusion du stockage temporaire, avant collecte, sur le site de production);;;16 06 01*;Accumulateurs au plomb;46.000;46.000;t/an
0002508495;SARL PHENIX RECYCLAGE;Traitement de déchets dangereux;2009;R4 ;R4 Recyclage ou récupération des métaux et des composés métalliques;;;16 01 04*;Véhicules hors d'usage;2605.520;2600.000;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2009;D13;D13 Regroupement préalablement à l'une des opérations numérotées D 1 à D 12;;;08 01 11*;Déchets de peintures et vernis contenant des solvants organiques ou d'autres substances dangereuses;7.600;7.600;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2009;D2 ;D2 Traitement en milieu terrestre (par exemple, biodégradation de déchets liquides ou de boues dans les sols, etc.);;;07 01 01*;Eaux de lavage et liqueurs mères aqueuses;45.560;45.600;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2009;D2 ;D2 Traitement en milieu terrestre (par exemple, biodégradation de déchets liquides ou de boues dans les sols, etc.);;;07 01 03*;Solvants, liquides de lavage et liqueurs mères organiques halogénés;273.840;273.920;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2009;D2 ;D2 Traitement en milieu terrestre (par exemple, biodégradation de déchets liquides ou de boues dans les sols, etc.);;;07 02 03*;Solvants, liquides de lavage et liqueurs mères organiques halogénés;18.400;18.400;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2009;D2 ;D2 Traitement en milieu terrestre (par exemple, biodégradation de déchets liquides ou de boues dans les sols, etc.);;;07 02 04*;Autres solvants, liquides de lavage et liqueurs mères organiques;47.920;48.000;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2009;D2 ;D2 Traitement en milieu terrestre (par exemple, biodégradation de déchets liquides ou de boues dans les sols, etc.);;;07 03 04*;Autres solvants, liquides de lavage et liqueurs mères organiques;10.560;10.560;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2009;D2 ;D2 Traitement en milieu terrestre (par exemple, biodégradation de déchets liquides ou de boues dans les sols, etc.);;;07 04 04*;Autres solvants, liquides de lavage et liqueurs mères organiques;188.660;188.600;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2009;D2 ;D2 Traitement en milieu terrestre (par exemple, biodégradation de déchets liquides ou de boues dans les sols, etc.);;;07 07 01*;Eaux de lavage et liqueurs mères aqueuses;43.760;43.800;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2009;D2 ;D2 Traitement en milieu terrestre (par exemple, biodégradation de déchets liquides ou de boues dans les sols, etc.);;;07 07 03*;Solvants, liquides de lavage et liqueurs mères organiques halogénés;125.160;125.200;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2009;D2 ;D2 Traitement en milieu terrestre (par exemple, biodégradation de déchets liquides ou de boues dans les sols, etc.);;;08 01 11*;Déchets de peintures et vernis contenant des solvants organiques ou d'autres substances dangereuses;13.240;13.240;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2009;D2 ;D2 Traitement en milieu terrestre (par exemple, biodégradation de déchets liquides ou de boues dans les sols, etc.);;;14 06 02*;Autres solvants et mélanges de solvants halogénés;33.800;33.800;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2009;R12;R12 Echange de déchets en vue de les soumettre à l'une des opérations numérotées R 1 à R 11;;;06 01 01*;Acide sulfurique et acide sulfureux;47.760;47.800;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2009;R12;R12 Echange de déchets en vue de les soumettre à l'une des opérations numérotées R 1 à R 11;;;06 01 04*;Acide phosphorique et acide phosphoreux;2.760;2.760;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2009;R12;R12 Echange de déchets en vue de les soumettre à l'une des opérations numérotées R 1 à R 11;;;07 01 03*;Solvants, liquides de lavage et liqueurs mères organiques halogénés;589.560;588.800;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2009;R12;R12 Echange de déchets en vue de les soumettre à l'une des opérations numérotées R 1 à R 11;;;07 01 04*;Autres solvants, liquides de lavage et liqueurs mères organiques;15757.700;15767.880;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2009;R12;R12 Echange de déchets en vue de les soumettre à l'une des opérations numérotées R 1 à R 11;;;07 01 08*;Autres résidus de réaction et résidus de distillation;49.840;49.800;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2009;R12;R12 Echange de déchets en vue de les soumettre à l'une des opérations numérotées R 1 à R 11;;;07 02 04*;Autres solvants, liquides de lavage et liqueurs mères organiques;962.680;963.200;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2009;R12;R12 Echange de déchets en vue de les soumettre à l'une des opérations numérotées R 1 à R 11;;;07 02 08*;Autres résidus de réaction et résidus de distillation;88.800;88.800;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2009;R12;R12 Echange de déchets en vue de les soumettre à l'une des opérations numérotées R 1 à R 11;;;07 03 04*;Autres solvants, liquides de lavage et liqueurs mères organiques;109.960;110.000;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2009;R12;R12 Echange de déchets en vue de les soumettre à l'une des opérations numérotées R 1 à R 11;;;07 04 08*;Autres résidus de réaction et résidus de distillation;45.280;45.200;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2009;R12;R12 Echange de déchets en vue de les soumettre à l'une des opérations numérotées R 1 à R 11;;;07 05 03*;Solvants, liquides de lavage et liqueurs mères organiques halogénés;1830.360;1832.000;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2009;R12;R12 Echange de déchets en vue de les soumettre à l'une des opérations numérotées R 1 à R 11;;;07 05 04*;Autres solvants, liquides de lavage et liqueurs mères organiques;1314.120;1313.000;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2009;R12;R12 Echange de déchets en vue de les soumettre à l'une des opérations numérotées R 1 à R 11;;;07 05 13*;Déchets solides contenant des substances dangereuses;18.120;18.120;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2009;R12;R12 Echange de déchets en vue de les soumettre à l'une des opérations numérotées R 1 à R 11;;;07 06 04*;Autres solvants, liquides de lavage et liqueurs mères organiques;47.680;47.600;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2009;R12;R12 Echange de déchets en vue de les soumettre à l'une des opérations numérotées R 1 à R 11;;;07 07 01*;Eaux de lavage et liqueurs mères aqueuses;29.520;29.600;t/an
