type_rj;code_rj;libelle;insee_commune;nom_commune;x_rj;y_rj;milieu_recepteur;derniere_annee;code_step;nom_step;nature_reseau;capacite;traitement_principal;debit_nominal_tps_sec;debit_nominal_tps_pluie;charge_nominale_dbo5;charge_nominale_dco;charge_nominale_mes;insee_commune_step;nom_commune_step;code_mo;siret_mo;nom_mo;x_step;y_step
RJ;0564001V0011;AAST;64001;Aast;449406;6248310;R;;0564001V001;AAST;;15;Secondaire bio (Ntk);1;;;;;64001;Aast;64001000A;2.16E+13;COMMUNE D'AAST ;449232;6248260
RJ;0564003V0011;ABIDOS (Intercommunale);64300;Lacq;406338;6262590;R;;0564003V001;ABIDOS (Intercommunale);Mixte;4000;Secondaire bio (Ntk);600;;;;;64300;Lacq;64443001B;2.00E+13;SYNDICAT MIXTE D'EAU ET D'ASSAINISSEMENT GAVE ET BAISE;406492;6262550
RJ;0524001V0031;ABJAT SUR BANDIAT (BOURG);24001;Abjat-sur-Bandiat;525030;6501520;R;;0524001V003;ABJAT SUR BANDIAT (BOURG);Separatif;250;Secondaire bio (Ntk);38;;;;;24001;Abjat-sur-Bandiat;24311017A;2.00E+13;CC DU PERIGORD NONTRONNAIS ;525069;6501400
RJ;0533001V0021;ABZAC (SECTEUR PENOT ET PORT DU MAS);33001;Abzac;456153;6439570;F;;0533001V002;ABZAC (SECTEUR PENOT ET PORT DU MAS);Separatif;250;Secondaire bio (Ntk);50;;;;;33001;Abzac;33447005A;2.00E+13;S.I.A.E.P.A. DES VALLEES DE L'ISLE ET DE LA DRONNE;456129;6439550
RJ;0533001V0031;ABZAC 2;33001;Abzac;453094;6440400;R;;0533001V003;ABZAC 2;Separatif;1600;Secondaire bio (Ntk et Ngl);240;;;;;33001;Abzac;33447005A;2.00E+13;S.I.A.E.P.A. DES VALLEES DE L'ISLE ET DE LA DRONNE;453136;6440380
RJ;0519001V0011;AFFIEUX (BOURG);19001;Affieux;603644;6491920;R;;0519001V001;AFFIEUX (BOURG);Separatif;65;Secondaire bio (Ntk);10;;;;;19001;Affieux;19001000A;2.12E+13;COMMUNE D'AFFIEUX ;603624;6491900
RJ;0519001V0021;AFFIEUX (SECTEUR DE CHEMIN);19001;Affieux;603564;6491420;R;;0519001V002;AFFIEUX (SECTEUR DE CHEMIN);Separatif;80;Secondaire bio (Ntk);12;;;;;19001;Affieux;19001000A;2.12E+13;COMMUNE D'AFFIEUX ;603611;6491410
RJ;0547001V0091;AGEN;47001;Agen;508574;6348720;R;;0547001V009;AGEN;Mixte;55000;Secondaire bio (Ntk, Ngl et Pt phy-chi);10140;;;;;47001;Agen;47001926A;2.00E+13;AGGLOMERATION D'AGEN ;508727;6348770
RJ;0512001V0011;AGEN D'AVEYRON;12001;Agen-d'Aveyron;673248;6361700;R;;0512001V001;AGEN D'AVEYRON;;850;Secondaire bio (Ntk);127;;;;;12001;Agen-d'Aveyron;12001000A;2.11E+13;COMMUNE D'AGEN D'AVEYRON ;673272;6361640
RJ;0547003V0011;AGNAC;47003;Agnac;491728;6398580;R;;0547003V001;AGNAC;Unitaire;60;Primaire bio simple (Decanteur Digesteur;9;;;;;47003;Agnac;47001006A;2.55E+13;SYNDICAT EAU47 ;491706;6398510
RJ;0524002V0011;AGONAC;24002;Agonac;523091;6467530;R;;0524002V001;AGONAC;Separatif;950;Secondaire bio (Ntk);150;;;;;24002;Agonac;24322050A;2.00E+13;CA LE GRAND PERIGUEUX ;523099;6467620
RJ;0565004V0011;AGOS VIDALOS (COMMUNALE);65004;Agos-Vidalos;450315;6220310;R;2021;0565004V001;AGOS VIDALOS (COMMUNALE);Separatif;1500;Secondaire bio (Ntk);225;;;;;65004;Agos-Vidalos;65004000A;2.17E+13;COMMUNE D'AGOS VIDALOS ;450214;6220330
RJ;0516003V0051;AGRIS (COMMUNALE);16003;Agris;492819;6523700;F;;0516003V005;AGRIS (COMMUNALE);Separatif;1000;Secondaire bio (Ntk);150;;;;;16003;Agris;16003000A;2.12E+13;COMMUNE D'AGRIS ;492864;6523670
RJ;0516003V0041;AGRIS (LE PONT D'AGRIS);16003;Agris;493741;6523130;F;;0516003V004;AGRIS (LE PONT D'AGRIS);Separatif;500;Secondaire bio (Ntk);100;;;;;16003;Agris;16003000A;2.12E+13;COMMUNE D'AGRIS ;493788;6523240
RJ;0532001V0011;AIGNAN;32001;Aignan;464144;6291930;R;;0532001V001;AIGNAN;Separatif;1200;Secondaire bio (Ntk);240;;;;;32001;Aignan;32001000A;2.13E+13;COMMUNE D'AIGNAN ;464235;6291960
RJ;0531002V0011;AIGNES;31002;Aignes;585110;6247840;R;;0531002V001;AIGNES;Separatif;200;Secondaire bio (Ntk);39;39;;;;31002;Aignes;31002000A;2.13E+13;COMMUNE D'AIGNES ;585112;6247860
RJ;0516004V0011;AIGNES ET PUYPEYROUX (Abbaye);16230;Montmoreau;477238;6487730;R;;0516004V001;AIGNES ET PUYPEYROUX (Abbaye);;100;Secondaire bio (Ntk);15;;;;;16230;Montmoreau;16046002A;7.81E+13;MAISON FAMILIALE RURALE D'EDUCATION ET D'ORIENTATION;476965;6487490
RJ;0516005V0031;AIGRE (INTERCOMMUNALE);16005;Aigre;468696;6536660;R;;0516005V003;AIGRE (INTERCOMMUNALE);Separatif;2200;Secondaire bio (Ntk, Ngl et Pt phy-chi);405;;;;;16005;Aigre;16383005A;2.00E+13;COEUR DE CHARENTE ;468101;6536000
RJ;0531003V0021;AIGREFEUILLE N°2;31003;Aigrefeuille;585186;6276180;R;;0531003V002;AIGREFEUILLE N°2;Separatif;800;Secondaire bio (Ntk);240;;;;;31003;Aigrefeuille;31555472B;2.43E+13;TOULOUSE METROPOLE ;585275;6276140
