ANNEE;CODE NATIONAL STATION;NOM STATION;CAPACITE STATION EN EH;FLUX EN ENTREE DE STATION - DBO5;FLUX EN ENTREE DE STATION - DCO;FLUX EN ENTREE DE STATION - MES;FLUX EN ENTREE DE STATION - NGL;FLUX EN ENTREE DE STATION - PT;FLUX EN ENTREE DE STATION - METOX;FLUX EN ENTREE DE STATION - AOX;FLUX EN SORTIE DE STATION - DBO5;FLUX EN SORTIE DE STATION - DCO;FLUX EN SORTIE DE STATION - MES;FLUX EN SORTIE DE STATION - NGL;FLUX EN SORTIE DE STATION - PT;FLUX EN SORTIE DE STATION - METOX;FLUX EN SORTIE DE STATION - AOX;NOM COMMUNE IMPLANTATION STATION;NOM DEPARTEMENT IMPLANTATION STATION;NOM REGION IMPLANTATION STATION
2019;060901002001;STATION D'EPURATION DE L'ABERGEMENT DE VAREY - BOURG;268;7,254;7,905;2,139;1,358;,115;;;,048;,458;,08;,386;,072;;;L ABERGEMENT DE VAREY;AIN;AUVERGNE-RHONE-ALPES;
2019;060901005001;STATION D'EPURATION DE AMBERIEUX EN DOMBES;1900;52,165;143,646;49,485;21,033;1,927;;;,92;10,309;1;16,138;1,54;;;AMBERIEUX EN DOMBES;AIN;AUVERGNE-RHONE-ALPES;
2019;060901007001;STATION D'EPURATION DE AMBRONAY - CHEF LIEU;1700;42,045;101,642;45,715;25,192;2,313;;;2,622;15,587;3,378;9,036;2,222;;;AMBRONAY;AIN;AUVERGNE-RHONE-ALPES;
2019;060901007002;STATION D'EPURATION DE AMBRONAY - GV2C;600;5,219;20,569;6,14;2,847;,304;;;,069;1,256;,132;4,544;,174;;;AMBRONAY;AIN;AUVERGNE-RHONE-ALPES;
2019;060901010002;STATION D'EPURATION DE ANGLEFORT - CHEF LIEU;1800;36,373;87,184;38,531;9,411;1,212;;;1,56;4,406;1,312;4,049;,304;;;ANGLEFORT;AIN;AUVERGNE-RHONE-ALPES;
2019;060901011001;STATION D'EPURATION DE APREMONT;400;5,403;17,213;5,661;2,502;,329;;;,18;1,415;,849;,821;,167;;;APREMONT;AIN;AUVERGNE-RHONE-ALPES;
2019;060901012104;STATION D'EPURATION DE ARANC;300;4,864;10,975;3,296;1,403;,308;;;,362;1,991;,452;1,152;,274;;;ARANC;AIN;AUVERGNE-RHONE-ALPES;
2019;060901021002;STATION D'EPURATION DE ARS SUR FORMANS;2250;48,953;108,08;86,071;12,465;1,662;;;,683;6,214;,911;2,904;,686;;;ARS SUR FORMANS;AIN;AUVERGNE-RHONE-ALPES;
2019;060901022002;STATION D'EPURATION DE ARTEMARE;1500;62,813;154,598;85,66;15,363;2,061;;;3,199;15,257;1,979;4,731;,97;;;ARTEMARE;AIN;AUVERGNE-RHONE-ALPES;
2019;060901024002;STATION D'EPURATION DE ATTIGNAT - VACAGNOLE;900;9,458;30,091;18,218;3,929;,476;;;;2,001;,407;,762;,153;;;ATTIGNAT;AIN;AUVERGNE-RHONE-ALPES;
2019;060901024003;STATION D'EPURATION DE ATTIGNAT - CHEF LIEU;1200;43,426;136,654;59,872;14,091;1,737;;;1,903;7,972;2,158;5,033;,919;;;ATTIGNAT;AIN;AUVERGNE-RHONE-ALPES;
2019;060901024004;STATION D'EPURATION DE ATTIGNAT - SECTEUR OUEST;1650;40,55;97,047;102,435;8,406;1,236;;;1,524;5,013;,545;5,62;,878;;;ATTIGNAT;AIN;AUVERGNE-RHONE-ALPES;
2019;060901025001;STATION D'EPURATION DE BAGE-DOMMARTIN - BAGE LA VILLE;550;17,394;40,752;11,154;4,866;,723;;;,251;2,827;,44;,467;,075;;;BAGE-DOMMARTIN;AIN;AUVERGNE-RHONE-ALPES;
2019;060901025002;STATION D'EPURATION DE BAGE-DOMMARTIN - SPATTIERES;1100;80,881;145,926;152,848;10,658;1,791;;;;;,229;8,118;,978;;;BAGE-DOMMARTIN;AIN;AUVERGNE-RHONE-ALPES;
2019;060901025003;STATION D'EPURATION DE BAGE-DOMMARTIN - ONJARD;500;15,482;17,746;26,076;8,485;,531;;;;;,038;,441;,017;;;BAGE-DOMMARTIN;AIN;AUVERGNE-RHONE-ALPES;
2019;060901025004;STATION D'EPURATION DE BAGE-DOMMARTIN - TEPPES BICHES;290;1,598;5,753;2,493;1,183;,166;;;;,85;,08;1,334;,166;;;BAGE-DOMMARTIN;AIN;AUVERGNE-RHONE-ALPES;
2019;060901026001;STATION D'EPURATION DE BAGE LE CHATEL;1100;19,792;43,974;53,231;4,552;,612;;;,734;4,323;1,446;2,216;,713;;;BAGE LE CHATEL;AIN;AUVERGNE-RHONE-ALPES;
2019;060901028801;STATION D'EPURATION DE BANEINS - BOURG;400;18,89;35,528;18,515;4,217;,467;;;1,102;3,991;1,596;2,463;,225;;;BANEINS;AIN;AUVERGNE-RHONE-ALPES;
2019;060901033001;STATION D'EPURATION DE VALSERHONE BELLEGARDE VALSERIN;18000;571,4275;1758,026;521,2105;168,216;21,839;;;29,3385;153,0345;35,6365;64,476;8,016;;;VALSERHONE;AIN;AUVERGNE-RHONE-ALPES;
2019;060901034001;STATION D'EPURATION DE BELLEY - CHEF LIEU;18333;828,4685;1670,3665;813,731;122,061;20,059;;;11,464;116,4225;14,3075;11,194;4,795;;;BELLEY;AIN;AUVERGNE-RHONE-ALPES;
2019;060901035001;STATION D'EPURATION DE BELLEYDOUX;300;44,416;81,892;25,262;3,865;,527;;;1,249;6,079;,888;,873;,355;;;BELLEYDOUX;AIN;AUVERGNE-RHONE-ALPES;
2019;060901036001;STATION D'EPURATION DE VALROMEY SUR SERAN- MASSIGNIEU;566;21,993;47,748;29,27;4;,411;;;,493;2,956;,657;1,838;,273;;;VALROMEY-SUR-SERAN;AIN;AUVERGNE-RHONE-ALPES;
2019;060901037001;STATION D'EPURATION DE BENONCES;300;31,973;54,684;30,429;5,658;,637;;;,498;;;2,894;,663;;;BENONCES;AIN;AUVERGNE-RHONE-ALPES;
2019;060901038001;STATION D'EPURATION DE BENY;300;6,527;14,219;7,084;1,976;,237;;;,161;3,788;2,499;,631;,1;;;BENY;AIN;AUVERGNE-RHONE-ALPES;
2019;060901039003;STATION D'EPURATION DE BEON;670;18,969;46,846;33,65;3,435;,406;;;,129;1,259;,097;1,886;,164;;;BEON;AIN;AUVERGNE-RHONE-ALPES;
2019;060901041001;STATION D'EPURATION DE BETTANT;900;28,644;61,845;23,87;9,811;,95;;;2,496;22,785;15,624;4,252;,988;;;BETTANT;AIN;AUVERGNE-RHONE-ALPES;
2019;060901043001;STATION D'EPURATION DE BEYNOST -ST MAURICE DE BEYNOST;10600;365,224;1010,798;371,928;103,029;8,649;;;8,35;49,153;14,819;21,184;3,312;;;BEYNOST;AIN;AUVERGNE-RHONE-ALPES;
2019;060901044001;STATION D'EPURATION DE BILLIAT;720;7,581;17,899;10,74;3,079;,337;;;3,369;9,476;3,369;2,735;,284;;;BILLIAT;AIN;AUVERGNE-RHONE-ALPES;
2019;060901045001;STATION D'EPURATION DE BIRIEUX;200;14,429;18,911;29,84;4,152;,41;;;,491;3,469;5,158;,809;,122;;;BIRIEUX;AIN;AUVERGNE-RHONE-ALPES;
2019;060901046001;STATION D'EPURATION DE BIZIAT - CHEF LIEU;315;21,7;29,67;18,307;3,086;,401;;;1,013;13,973;4,253;5,658;,855;;;BIZIAT;AIN;AUVERGNE-RHONE-ALPES;
2019;060901046002;STATION D'EPURATION DE BIZIAT - RETISSINGE;400;7,64;24,584;16,56;2,689;,317;;;,081;,469;,211;,095;,019;;;BIZIAT;AIN;AUVERGNE-RHONE-ALPES;
2019;060901047102;STATION D'EPURATION DE BLYES;1500;33,7;78,776;27,423;12,218;1,248;;;,99;7,082;1,413;6,991;,954;;;BLYES;AIN;AUVERGNE-RHONE-ALPES;
2019;060901052001;STATION D'EPURATION DE BOULIGNEUX;150;2,64;4,44;3,6;,273;,03;;;,022;,151;,026;,029;,022;;;BOULIGNEUX;AIN;AUVERGNE-RHONE-ALPES;
