ANNEE;CODE NATIONAL STATION;NOM STATION;CAPACITE STATION EN EH;FLUX EN ENTREE DE STATION - DBO5;FLUX EN ENTREE DE STATION - DCO;FLUX EN ENTREE DE STATION - MES;FLUX EN ENTREE DE STATION - NGL;FLUX EN ENTREE DE STATION - PT;FLUX EN ENTREE DE STATION - METOX;FLUX EN ENTREE DE STATION - AOX;FLUX EN SORTIE DE STATION - DBO5;FLUX EN SORTIE DE STATION - DCO;FLUX EN SORTIE DE STATION - MES;FLUX EN SORTIE DE STATION - NGL;FLUX EN SORTIE DE STATION - PT;FLUX EN SORTIE DE STATION - METOX;FLUX EN SORTIE DE STATION - AOX;NOM COMMUNE IMPLANTATION STATION;NOM DEPARTEMENT IMPLANTATION STATION;NOM REGION IMPLANTATION STATION
2009;060901114002;STATION D'EPURATION DE CONFORT - MENTHIERES;1167;,507;1,551;,514;;,046;;;,046;,345;,092;,032;,008;;;CONFORT;AIN;AUVERGNE-RHONE-ALPES;
2009;060901115002;STATION D'EPURATION DE CONFRANCON;800;25,425;88,425;33,84;8,148;1,031;;;,243;2,592;,162;6,016;,613;;;CONFRANCON;AIN;AUVERGNE-RHONE-ALPES;
2009;060901123001;STATION D'EPURATION DE CORMORANCHE SUR SAONE;1800;34,742;94,827;46,424;12,484;1,681;;;,794;5,849;1,188;,806;,881;;;CORMORANCHE SUR SAONE;AIN;AUVERGNE-RHONE-ALPES;
2009;060901129001;STATION D'EPURATION DE CRANS;270;;;;;;;;;;;;;;;CRANS;AIN;AUVERGNE-RHONE-ALPES;
2009;060901134001;STATION D'EPURATION DE CROTTET - CHAVANNES;450;35,112;70,809;81,928;5,142;,963;;;,958;6,065;2,181;3,521;,415;;;CROTTET;AIN;AUVERGNE-RHONE-ALPES;
2009;060901134002;STATION D'EPURATION DE CROTTET - ORMETS;2700;43,284;104,855;56,702;11,174;1,472;;;,325;5,735;,952;1,132;,39;;;CROTTET;AIN;AUVERGNE-RHONE-ALPES;
2009;060901138001;STATION D'EPURATION DE CULOZ - CHEF LIEU;4666;140,379;338,153;172,729;;3,816;;;3,01;21,997;7,412;;1,226;;;CULOZ;AIN;AUVERGNE-RHONE-ALPES;
2009;060901143001;STATION D'EPURATION DE DIVONNE LES BAINS;15000;441,272;1094,236;719,298;110,6;14,31;;;24,272;158,534;40,311;16,141;2,9;;;DIVONNE LES BAINS;AIN;AUVERGNE-RHONE-ALPES;
2009;060901145002;STATION D'EPURATION DE DOMPIERRE SUR VEYLE - CHF LIEU;900;74,15;122,861;80,17;6,714;1,208;;;1,83;;2,196;2,8;,571;;;DOMPIERRE SUR VEYLE;AIN;AUVERGNE-RHONE-ALPES;
2009;060901145003;STATION D'EPURATION DE DOMPIERRE SUR VEYLE - LE LAIT;100;11,78;22,952;6,46;1,822;,316;;;,608;2,964;,874;,762;,09;;;DOMPIERRE SUR VEYLE;AIN;AUVERGNE-RHONE-ALPES;
2009;060901150001;STATION D'EPURATION DE DROM;400;31,668;45,373;11,466;2,566;,475;;;,846;4,313;1,037;1,471;,352;;;DROM;AIN;AUVERGNE-RHONE-ALPES;
2009;060901151002;STATION D'EPURATION DE DRUILLAT - ROSSETTES;300;3,41;10,261;2,232;1,664;,138;;;,527;2,263;1,178;,542;,059;;;DRUILLAT;AIN;AUVERGNE-RHONE-ALPES;
2009;060901151003;STATION D'EPURATION DE DRUILLAT - TURGON;400;8,2;26,65;8,2;3,54;,354;;;1,066;8,856;4,92;;,117;;;DRUILLAT;AIN;AUVERGNE-RHONE-ALPES;
2009;060901157001;STATION D'EPURATION DE FAREINS;1800;25,844;59,072;34,932;13,362;1,187;;;3,408;15,336;5,964;6,91;1,162;;;FAREINS;AIN;AUVERGNE-RHONE-ALPES;
2009;060901158001;STATION D'EPURATION DE FARGES;533;7,92;22,464;10,224;;,464;;;,288;2,16;,576;,913;,227;;;FARGES;AIN;AUVERGNE-RHONE-ALPES;
2009;060901165001;STATION D'EPURATION DE FRANCHELEINS (ANCIENNE);250;34,28;102,59;56,048;6,209;,716;;;3,393;12,617;3,101;4,831;,498;;;FRANCHELEINS ;AIN;AUVERGNE-RHONE-ALPES;
2009;060901167002;STATION D'EPURATION DE GARNERANS - MONTGOIN;380;9,695;27,792;10,422;4,262;,638;;;2,504;15,35;11,957;1,158;,218;;;GARNERANS;AIN;AUVERGNE-RHONE-ALPES;
2009;060901181001;STATION D'EPURATION DE GROISSIAT - OYONNAX;57000;1563,196;3908,447;1669,872;379,077;52,717;;;39,162;242,987;103,476;36,093;10,135;;;GROISSIAT;AIN;AUVERGNE-RHONE-ALPES;
2009;060901183001;STATION D'EPURATION DE GUEREINS;900;99,358;226,089;149,928;33,776;5,765;;;9,711;47,698;15,459;23,67;2,376;;;GUEREINS;AIN;AUVERGNE-RHONE-ALPES;
2009;060901185001;STATION D'EPURATION DE PLATEAU D'HAUTEVILLE - LOMPNES;8000;77,62;207,544;147,294;;3,257;;;12,998;61,929;37,286;16,585;2,227;;;PLATEAU D'HAUTEVILLE;AIN;AUVERGNE-RHONE-ALPES;
2009;060901187001;STATION D'EPURATION DE HAUT-VALROMEY - HOTONNES;2300;105,049;232,995;95,698;;1;;;,782;8,824;1,807;;,344;;;HAUT-VALROMEY ;AIN;AUVERGNE-RHONE-ALPES;
2009;060901194002;STATION D'EPURATION DE JASSANS RIOTTIER;11250;374,606;938,797;507,851;103,43;10,89;;;8,37;51,793;8,391;9,499;1,894;;;JASSANS RIOTTIER;AIN;AUVERGNE-RHONE-ALPES;
2009;060901196001;STATION D'EPURATION DE JAYAT (ANCIENNE);420;12,9;35,088;12,9;5,028;,499;;;,344;4,128;,843;1,673;,215;;;JAYAT;AIN;AUVERGNE-RHONE-ALPES;
2009;060901196002;STATION D'EPURATION DE MONTREVEL - JAYAT;6000;92,54;250,899;150,799;40,188;4,409;;;3,938;36,95;4,964;5,561;1,36;;;JAYAT;AIN;AUVERGNE-RHONE-ALPES;
2009;060901199001;STATION D'EPURATION DE JUJURIEUX - CHEF LIEU;3200;55,2;134,46;39,26;19,14;2,764;;;15,3;55,66;16,7;16,308;2,576;;;JUJURIEUX;AIN;AUVERGNE-RHONE-ALPES;
2009;060901209001;STATION D'EPURATION DE LEAZ - GRESIN;400;1,595;5,665;1,815;;,09;;;,22;1,65;,22;1,583;,113;;;LEAZ;AIN;AUVERGNE-RHONE-ALPES;
2009;060901209002;STATION D'EPURATION DE LEAZ - CHEF LIEU;400;6,825;11,325;7,575;;,321;;;3,6;9,825;2,775;2,489;,293;;;LEAZ;AIN;AUVERGNE-RHONE-ALPES;
2009;060901210002;STATION D'EPURATION DE LELEX;1980;28,961;70,16;38,752;16,066;1,43;;;1,483;10,443;2,507;5,029;,66;;;LELEX;AIN;AUVERGNE-RHONE-ALPES;
2009;060901211002;STATION D'EPURATION DE LENT;1425;75,65;165,192;85,875;20,7;1,955;;;5,022;;2,515;1,533;,967;;;LENT;AIN;AUVERGNE-RHONE-ALPES;
2009;060901216001;STATION D'EPURATION DE LHUIS - CHEF LIEU;1000;20,726;46,754;31,33;;,627;;;4,833;13,425;2,685;3,58;,483;;;LHUIS;AIN;AUVERGNE-RHONE-ALPES;
2009;060901224001;STATION D'EPURATION DE LOYETTES;4500;129,17;249,548;95,334;19,322;3,14;;;1,234;10,045;2,003;2,472;,549;;;LOYETTES;AIN;AUVERGNE-RHONE-ALPES;
2009;060901225001;STATION D'EPURATION DE MONTMERLE SUR SAONE - LURCY;8000;200,716;468,485;216,548;39,477;4,656;;;1,705;19,602;2,636;2,644;2,309;;;LURCY;AIN;AUVERGNE-RHONE-ALPES;
2009;060901232003;STATION D'EPURATION DE MARBOZ - CHEF LIEU;1500;30,7;77,395;46,9;8,118;1,129;;;,703;8,475;,97;,352;,531;;;MARBOZ;AIN;AUVERGNE-RHONE-ALPES;
2009;060901237001;STATION D'EPURATION DE MARTIGNAT;670;41,492;92,232;49,263;11,187;1,428;;;2,261;6,642;5,453;3,288;,612;;;MARTIGNAT;AIN;AUVERGNE-RHONE-ALPES;
2009;060901238001;STATION D'EPURATION DE TREVOUX-BORDS DE SAONE;27000;179,346;628,065;524,112;52,009;7,459;;;7,922;70,566;26,452;11,211;3,663;;;MASSIEUX;AIN;AUVERGNE-RHONE-ALPES;
2009;060901244001;STATION D'EPURATION DE MEXIMIEUX;10000;202,53;496,937;171,707;61,325;7,173;;;38,93;250,167;128,075;47,855;6,392;;;MEXIMIEUX;AIN;AUVERGNE-RHONE-ALPES;
2009;060901247003;STATION D'EPURATION DE MIJOUX - CHEF LIEU;3000;12,194;31,83;24,108;5,354;,601;;;,928;7,173;1,726;3,509;,086;;;MIJOUX;AIN;AUVERGNE-RHONE-ALPES;
2009;060901248002;STATION D'EPURATION DE MIONNAY;4483;46,8;158,808;46,8;21,138;2,05;;;,936;9,36;,936;1,638;,886;;;MIONNAY;AIN;AUVERGNE-RHONE-ALPES;
2009;060901250002;STATION D'EPURATION DE MISERIEUX;2430;83,122;197,035;103,271;16,688;2,155;;;1,158;12,577;2,228;4,868;,927;;;MISERIEUX;AIN;AUVERGNE-RHONE-ALPES;
2009;060901252001;STATION D'EPURATION DE MOGNENEINS;475;29,299;58,597;23,439;9,877;1,071;;;2,627;14,952;7,173;2,633;,657;;;MOGNENEINS;AIN;AUVERGNE-RHONE-ALPES;
2009;060901258001;STATION D'EPURATION DE MONTCEAUX;900;24,094;71,888;35,737;5,057;,786;;;2,688;11,937;4,878;2,24;,303;;;MONTCEAUX;AIN;AUVERGNE-RHONE-ALPES;
2009;060901262001;STATION D'EPURATION DE MONTLUEL - NIEVROZ;30000;667,964;1600,558;948,995;185,865;25,602;,463;0;31,974;216,052;69,113;105,752;11,623;0;,001;MONTLUEL;AIN;AUVERGNE-RHONE-ALPES;
2009;060901263001;STATION D'EPURATION DE MONTMERLE SUR SAONE;3800;214,939;481,137;268,712;64,642;9,27;;;7,074;50,697;20,293;31,184;3,859;;;MONTMERLE SUR SAONE;AIN;AUVERGNE-RHONE-ALPES;
2009;060901267004;STATION D'EPURATION DE NURIEUX VOLOGNAT - CHEF LIEU;1600;61,89;133,74;104,1;12,591;2,685;;;,541;61,824;1,746;3,958;,72;;;NURIEUX VOLOGNAT;AIN;AUVERGNE-RHONE-ALPES;
2009;060901283002;STATION D'EPURATION DE OYONNAX - BONAZ;900;52,11;121,091;58,759;;1,934;;;18,87;69,937;30,905;;1,374;;;OYONNAX;AIN;AUVERGNE-RHONE-ALPES;
2009;060901288003;STATION D'EPURATION DE PERON - L'EPINE;4700;87,424;212,069;128,739;22,301;2,829;;;4,219;29,031;6,991;7,085;1,646;;;PERON;AIN;AUVERGNE-RHONE-ALPES;
2009;060901295001;STATION D'EPURATION DE PEYZIEUX SUR SAONE;500;9,183;21,459;7,346;2,598;,353;;;,87;4,06;1,305;2,041;,3;;;PEYZIEUX SUR SAONE;AIN;AUVERGNE-RHONE-ALPES;
2009;060901297002;STATION D'EPURATION DE PIZAY;1100;15,14;41,536;22,71;5,401;,966;;;,62;5,417;1,24;,237;,583;;;PIZAY;AIN;AUVERGNE-RHONE-ALPES;
2009;060901299001;STATION D'EPURATION DE LE PLANTAY;333;45,12;81,357;31,02;10,569;1,114;;;,846;8,319;1,692;4,216;,804;;;LE PLANTAY;AIN;AUVERGNE-RHONE-ALPES;
2009;060901301002;STATION D'EPURATION DE POLLIAT - CHEF LIEU;1800;37,492;94,802;45,576;10,892;1,551;;;1,065;6,596;1,086;,537;,516;;;POLLIAT;AIN;AUVERGNE-RHONE-ALPES;
2009;060901303005;STATION D'EPURATION DE PONCIN - CHEF LIEU;6000;104,608;223,564;143,38;19,683;2,605;;;1,688;10,867;2,133;2,313;,57;;;PONCIN;AIN;AUVERGNE-RHONE-ALPES;
2009;060901304001;STATION D'EPURATION DE PONT D'AIN - CHEF LIEU;3500;111,141;261,449;86,386;21,723;2,495;;;2,316;26,792;8,298;1,942;,674;;;PONT D AIN;AIN;AUVERGNE-RHONE-ALPES;
2009;060901305002;STATION D'EPURATION DE PONT DE VAUX;5000;213,952;572,579;321,381;62,874;8,401;;;4,93;48,521;13,404;11,043;2,306;;;PONT DE VAUX;AIN;AUVERGNE-RHONE-ALPES;
2009;060901306002;STATION D'EPURATION DE PONT DE VEYLE;2700;121,538;284,941;129,101;33,276;4,35;;;1,858;18,95;3,4;4,365;1,711;;;PONT DE VEYLE;AIN;AUVERGNE-RHONE-ALPES;
2009;060901307001;STATION D'EPURATION DE NANTUA - PORT;7200;710,872;1953,555;1159,074;146,464;18,479;;;18,367;143,55;26,593;29,725;3,968;;;PORT;AIN;AUVERGNE-RHONE-ALPES;
2009;060901308001;STATION D'EPURATION DE POUGNY - CHEF LIEU (ANCIENNE);800;14,586;28,288;14,62;;,381;;;,084;,63;,084;,744;,167;;;POUGNY;AIN;AUVERGNE-RHONE-ALPES;
2009;060901308002;STATION D'EPURATION DE POUGNY - GARE;333;2,265;4,785;1,65;;,122;;;,075;,66;,09;,119;,066;;;POUGNY;AIN;AUVERGNE-RHONE-ALPES;
2009;060901313001;STATION D'EPURATION DE PREVESSIN MOENS - GEX;14300;1305,319;3380,243;1836,779;245,915;34,434;;;68,227;305,849;78,139;212,366;21,318;;;PREVESSIN MOENS;AIN;AUVERGNE-RHONE-ALPES;
2009;060901314001;STATION D'EPURATION DE PRIAY - VILLAGE;1500;24,951;49,273;20,218;6,191;,753;;;,568;4,254;,94;2,986;,412;;;PRIAY;AIN;AUVERGNE-RHONE-ALPES;
2009;060901314002;STATION D'EPURATION DE PRIAY - BELLEGARDE;720;8,117;22,982;10,944;3,493;;;;,365;3,83;,456;1,186;;;;PRIAY;AIN;AUVERGNE-RHONE-ALPES;
2009;060901318001;STATION D'EPURATION DE RANCE - CHEF LIEU;450;19,08;48,22;25,057;4,354;,637;;;1,997;6,919;1,785;1,83;,275;;;RANCE;AIN;AUVERGNE-RHONE-ALPES;
2009;060901318002;STATION D'EPURATION DE RANCE - LES COMMUNAUX;250;4,29;14,84;20,865;,83;,176;;;,176;1,482;1,014;,445;,069;;;RANCE;AIN;AUVERGNE-RHONE-ALPES;
2009;060901319001;STATION D'EPURATION DE RELEVANT;350;,21;,498;,152;,081;,009;;;,005;,065;,051;,027;,005;;;RELEVANT;AIN;AUVERGNE-RHONE-ALPES;
2009;060901320001;STATION D'EPURATION DE REPLONGES;3600;128,66;310,707;134,544;45,693;5,437;;;3,844;33,465;6,33;;1,619;;;REPLONGES;AIN;AUVERGNE-RHONE-ALPES;
2009;060901325003;STATION D'EPURATION DE RIGNIEUX LE FRANC - CHEF LIEU;1200;13,2;36,366;14,564;4,371;,49;;;,132;1,32;,088;2,912;,346;;;RIGNIEUX LE FRANC;AIN;AUVERGNE-RHONE-ALPES;
2009;060901333002;STATION D'EPURATION DE ST ANDRE DE CORCY;4750;89,042;220,621;153,235;32,797;3,774;;;3,286;40,161;6,631;7,173;2,138;;;ST ANDRE DE CORCY;AIN;AUVERGNE-RHONE-ALPES;
2009;060901335001;STATION D'EPURATION DE ST ANDRE LE BOUCHOUX;400;12,625;30,656;18,535;2,46;,382;;;,865;5,189;,716;3,068;,138;;;ST ANDRE LE BOUCHOUX;AIN;AUVERGNE-RHONE-ALPES;
2009;060901336800;STATION D'EPURATION MIXTE DE SAINT ANDRE;4500;68,814;155,612;45,633;16,709;1,936;;;1,552;11,55;2,031;1,559;,168;;;ST ANDRE SUR VIEUX JONC;AIN;AUVERGNE-RHONE-ALPES;
2009;060901339001;STATION D'EPURATION DE SAINT BERNARD;450;14,388;35,316;15,696;;,493;;;4,905;13,734;5,559;;,409;;;ST BERNARD;AIN;AUVERGNE-RHONE-ALPES;
2009;060901344002;STATION D'EPURATION DE SAINT-DENIS-LES-BOURG;4500;144,237;335,783;177,126;51,475;5,854;;;3,618;24,879;4,653;10,499;1,509;;;ST DENIS LES BOURG;AIN;AUVERGNE-RHONE-ALPES;
2009;060901347002;STATION D'EPURATION DE ST DIDIER DE FORMANS;11730;107,344;312,673;195,802;49,262;5,451;;;11,197;55,424;12,587;26,698;3,585;;;ST DIDIER DE FORMANS;AIN;AUVERGNE-RHONE-ALPES;
2009;060901354001;STATION D'EPURATION DE SAINT GENIS POUILLY;27000;708,716;1699,576;931,939;203,661;21,166;;;49,648;199,929;50,605;110,429;11,271;;;ST GENIS POUILLY;AIN;AUVERGNE-RHONE-ALPES;
2009;060901360002;STATION D'EPURATION DE ST JEAN DE GONVILLE;2250;69,668;150,145;96,97;14,174;2,035;;;1,86;13,287;3,012;2,938;1,073;;;ST JEAN DE GONVILLE;AIN;AUVERGNE-RHONE-ALPES;
2009;060901361001;STATION D'EPURATION DE ST JEAN DE NIOST;2500;26,908;64,541;25,603;7,435;1,153;;;,513;3,012;1,198;,854;,621;;;ST JEAN DE NIOST;AIN;AUVERGNE-RHONE-ALPES;
2009;060901363001;STATION D'EPURATION DE SAINT JEAN LE VIEUX (ANCIENNE);1333;34,65;115,15;70;12,6;2,1;;;;11,55;2,1;2,17;1,435;;;ST JEAN LE VIEUX;AIN;AUVERGNE-RHONE-ALPES;
2009;060901371002;STATION D'EPURATION DE ST MARCEL EN DOMBES;1500;68,05;126,045;71,775;;2,79;;;;;,705;5,635;,468;;;ST MARCEL;AIN;AUVERGNE-RHONE-ALPES;
2009;060901374003;STATION D'EPURATION DE ST MARTIN DU MONT - SOBLAY;350;5,763;12,57;5,264;2,031;,212;;;,154;1,102;,086;,924;,155;;;ST MARTIN DU MONT;AIN;AUVERGNE-RHONE-ALPES;
2009;060901375001;STATION D'EPURATION DE ST MARTIN LE CHATEL;400;13,976;43,127;22,961;4,418;,569;;;1,497;10,083;2,496;3,167;,449;;;ST MARTIN LE CHATEL;AIN;AUVERGNE-RHONE-ALPES;
2009;060901378001;STATION D'EPURATION DE ST MAURICE DE GOURDANS (ANC.);2000;93,667;201,828;103,741;18,757;3,005;;;8,259;39,47;23,088;4,033;1,169;;;ST MAURICE DE GOURDANS;AIN;AUVERGNE-RHONE-ALPES;
2009;060901379002;STATION D'EPURATION DE ST MAURICE DE REMENS;1000;11,12;29,302;7,835;4,396;,527;;;,164;2,285;,268;,106;,404;;;ST MAURICE DE REMENS;AIN;AUVERGNE-RHONE-ALPES;
2009;060901383003;STATION D'EPURATION DE ST PAUL DE VARAX - CHEF LIEU;2500;85,75;207,813;55,125;21,035;3,745;;;13,388;93,188;38,5;16,869;4,409;;;ST PAUL DE VARAX;AIN;AUVERGNE-RHONE-ALPES;
2009;060901386001;STATION D'EPURATION DE LAGNIEU - ST SORLIN EN BUGEY;8167;291,447;749,986;376,346;;12,594;;;31,807;141,858;57,933;;6,178;;;ST SORLIN EN BUGEY;AIN;AUVERGNE-RHONE-ALPES;
2009;060901388001;STATION D'EPURATION DE ST TRIVIER COURTES - CHEF-LIEU;6800;150,863;292,045;65,598;6,822;1,637;;;1,86;17,582;5,424;,904;,277;;;ST TRIVIER DE COURTES;AIN;AUVERGNE-RHONE-ALPES;
2009;060901408002;STATION D'EPURATION DE SIMANDRE SUR SURAN;1000;17,46;33,836;12,06;4,068;,681;;;,202;1,665;,225;,9;,1;;;SIMANDRE SUR SURAN;AIN;AUVERGNE-RHONE-ALPES;
2009;060901420001;STATION D'EPURATION DE THOISSEY;4000;115,745;288,457;146,807;40,889;7,402;;;18,137;80,498;30,229;30,031;5,707;;;THOISSEY;AIN;AUVERGNE-RHONE-ALPES;
2009;060901424002;STATION D'EPURATION DE TRAMOYES;2500;49,077;114,756;54,061;;2,502;;;,887;8,923;1,007;;1,262;;;TRAMOYES;AIN;AUVERGNE-RHONE-ALPES;
2009;060901426001;STATION D'EPURATION DE VAL REVERMONT-TREFFORT-CUISIAT;1500;100,2;207,593;94,2;17,978;2,924;;;3,098;18,938;3,608;8,985;1,669;;;VAL-REVERMONT;AIN;AUVERGNE-RHONE-ALPES;
2009;060901427001;STATION D'EPURATION DE TREVOUX;14400;185,101;486,621;265,524;75,48;9,698;;;20,996;84,549;35,211;48,763;3,08;;;TREVOUX;AIN;AUVERGNE-RHONE-ALPES;
2009;060901435002;STATION D'EPURATION DE VERSONNEX - SAUVERNY;5833;186,618;458,582;205,583;49,831;5,367;;;4,278;28,07;6,989;5,241;,217;;;VERSONNEX;AIN;AUVERGNE-RHONE-ALPES;
2009;060901443002;STATION D'EPURATION DE VILLARS LES DOMBES;6000;176,461;502,513;302,245;48,854;5,966;;;4,289;44,519;5,173;7,942;,573;;;VILLARS LES DOMBES;AIN;AUVERGNE-RHONE-ALPES;
