ANNEE;CODE NATIONAL STATION;NOM STATION;CAPACITE STATION EN EH;FLUX EN ENTREE DE STATION - DBO5;FLUX EN ENTREE DE STATION - DCO;FLUX EN ENTREE DE STATION - MES;FLUX EN ENTREE DE STATION - NGL;FLUX EN ENTREE DE STATION - PT;FLUX EN ENTREE DE STATION - METOX;FLUX EN ENTREE DE STATION - AOX;FLUX EN SORTIE DE STATION - DBO5;FLUX EN SORTIE DE STATION - DCO;FLUX EN SORTIE DE STATION - MES;FLUX EN SORTIE DE STATION - NGL;FLUX EN SORTIE DE STATION - PT;FLUX EN SORTIE DE STATION - METOX;FLUX EN SORTIE DE STATION - AOX;NOM COMMUNE IMPLANTATION STATION;NOM DEPARTEMENT IMPLANTATION STATION;NOM REGION IMPLANTATION STATION
2015;060901002001;STATION D'EPURATION DE L'ABERGEMENT DE VAREY - BOURG;268;2,086;5,975;1,937;1,103;,121;;;;,447;,051;,592;,052;;;L ABERGEMENT DE VAREY;AIN;AUVERGNE-RHONE-ALPES;
2015;060901005001;STATION D'EPURATION DE AMBERIEUX EN DOMBES;1900;74,945;167,719;68,065;27,941;2,993;;;;;;9,388;1,386;;;AMBERIEUX EN DOMBES;AIN;AUVERGNE-RHONE-ALPES;
2015;060901007001;STATION D'EPURATION DE AMBRONAY - CHEF LIEU;1700;36,348;119,234;68,031;23,784;2,405;;;3,146;15,309;4,644;7,125;1,33;;;AMBRONAY;AIN;AUVERGNE-RHONE-ALPES;
2015;060901007002;STATION D'EPURATION DE AMBRONAY - GV2C;600;14,76;28,249;9,84;4,396;,41;;;;;;;;;;AMBRONAY;AIN;AUVERGNE-RHONE-ALPES;
2015;060901010002;STATION D'EPURATION DE ANGLEFORT - CHEF LIEU;1800;75,1;196,489;92,821;17,605;2,804;;;8,862;31,365;10,808;6,128;2,913;;;ANGLEFORT;AIN;AUVERGNE-RHONE-ALPES;
2015;060901011001;STATION D'EPURATION DE APREMONT;400;5,798;14,534;4,57;1,997;,23;;;,154;1,536;,25;,792;,177;;;APREMONT;AIN;AUVERGNE-RHONE-ALPES;
2015;060901021002;STATION D'EPURATION DE ARS SUR FORMANS;2250;36,487;105,995;73,493;11,072;1,625;;;1,308;7,698;,952;2,284;,603;;;ARS SUR FORMANS;AIN;AUVERGNE-RHONE-ALPES;
2015;060901022002;STATION D'EPURATION DE ARTEMARE;1500;84,462;233,494;124,732;22,396;3,253;;;1,474;10,864;2,823;2,734;,976;;;ARTEMARE;AIN;AUVERGNE-RHONE-ALPES;
2015;060901024004;STATION D'EPURATION DE ATTIGNAT - SECTEUR OUEST;1650;23,208;71,532;61,438;5,83;,839;;;;2,482;;4,605;,597;;;ATTIGNAT;AIN;AUVERGNE-RHONE-ALPES;
2015;060901025001;STATION D'EPURATION DE BAGE-DOMMARTIN - BAGE LA VILLE;550;16,711;47,872;24,673;5,283;,55;;;1,03;6,552;2,621;2,716;,431;;;BAGE-DOMMARTIN;AIN;AUVERGNE-RHONE-ALPES;
2015;060901025002;STATION D'EPURATION DE BAGE-DOMMARTIN - SPATTIERES;1100;31,42;93,618;57,234;10,73;1,151;;;;2,316;;6,315;,943;;;BAGE-DOMMARTIN;AIN;AUVERGNE-RHONE-ALPES;
2015;060901025003;STATION D'EPURATION DE BAGE-DOMMARTIN - ONJARD;500;16,353;48,786;24,984;4,791;,581;;;1,47;10,413;1,103;6,827;,858;;;BAGE-DOMMARTIN;AIN;AUVERGNE-RHONE-ALPES;
2015;060901025004;STATION D'EPURATION DE BAGE-DOMMARTIN - TEPPES BICHES;290;2,151;5,754;2,123;1,37;,168;;;;,439;;,597;,046;;;BAGE-DOMMARTIN;AIN;AUVERGNE-RHONE-ALPES;
